CatID,Date,Water(ml),Food(g),Urination,Defecation,Vomiting,Diarrhea,Weight(kg)
ckd_cat_01,2025-09-01,411.7,61.6,5,1,0,1,4.45
ckd_cat_01,2025-09-02,426.3,53.6,8,3,0,0,4.35
ckd_cat_01,2025-09-03,229.1,40.8,6,1,0,0,4.25
ckd_cat_01,2025-09-04,347.2,56.5,7,3,1,0,4.15
ckd_cat_01,2025-09-05,387.9,61.4,8,2,1,0,4.05
ckd_cat_01,2025-09-06,310.0,59.5,6,3,0,0,4.0
ckd_cat_01,2025-09-07,405.7,32.0,7,2,1,0,3.9
ckd_cat_01,2025-09-08,462.3,62.3,5,2,0,0,3.8
ckd_cat_01,2025-09-09,394.4,64.3,8,3,0,1,3.75
ckd_cat_01,2025-09-10,469.3,42.3,7,3,0,1,3.7
ckd_cat_01,2025-09-11,318.6,37.6,7,1,0,0,3.6
ckd_cat_01,2025-09-12,478.4,79.5,6,2,0,0,3.5
ckd_cat_01,2025-09-13,282.6,53.5,5,2,1,0,3.4
ckd_cat_01,2025-09-14,216.4,71.3,6,3,0,0,3.35
ckd_cat_01,2025-09-15,392.7,74.5,6,1,1,0,3.25
ckd_cat_01,2025-09-16,271.1,79.4,5,1,1,0,3.15
ckd_cat_01,2025-09-17,481.0,66.5,6,2,0,0,3.05
ckd_cat_01,2025-09-18,310.4,72.8,5,2,0,1,2.95
ckd_cat_01,2025-09-19,261.5,78.1,5,2,1,1,2.9
ckd_cat_01,2025-09-20,275.6,79.2,5,1,0,0,2.8
ckd_cat_01,2025-09-21,264.2,55.3,4,2,0,1,2.7
ckd_cat_01,2025-09-22,488.4,72.9,6,1,0,0,2.65
ckd_cat_01,2025-09-23,334.3,58.6,8,2,0,0,2.55
ckd_cat_01,2025-09-24,455.8,32.1,6,1,1,0,2.45
ckd_cat_01,2025-09-25,262.8,38.0,6,2,0,0,2.35
ckd_cat_01,2025-09-26,355.4,64.7,4,2,0,0,2.25
ckd_cat_01,2025-09-27,370.2,45.0,8,3,0,1,2.15
ckd_cat_01,2025-09-28,292.9,74.7,5,1,0,0,2.1
ckd_cat_01,2025-09-29,453.3,38.3,4,2,0,0,2.05
ckd_cat_01,2025-09-30,431.7,40.6,6,2,0,0,2.0
ckd_cat_02,2025-09-01,348.6,72.1,7,3,0,0,4.4
ckd_cat_02,2025-09-02,326.6,71.1,8,2,0,1,4.35
ckd_cat_02,2025-09-03,400.6,43.4,8,3,0,0,4.3
ckd_cat_02,2025-09-04,221.0,44.1,7,2,1,0,4.25
ckd_cat_02,2025-09-05,332.4,77.1,4,2,1,1,4.15
ckd_cat_02,2025-09-06,378.9,66.8,6,3,0,0,4.05
ckd_cat_02,2025-09-07,321.2,62.9,6,3,0,0,3.95
ckd_cat_02,2025-09-08,412.1,76.1,7,2,0,0,3.9
ckd_cat_02,2025-09-09,245.7,73.1,4,2,0,0,3.85
ckd_cat_02,2025-09-10,498.7,72.5,7,3,1,0,3.8
ckd_cat_02,2025-09-11,428.2,49.1,8,2,0,0,3.7
ckd_cat_02,2025-09-12,474.0,69.0,6,1,0,1,3.6
ckd_cat_02,2025-09-13,330.7,65.8,7,3,0,0,3.55
ckd_cat_02,2025-09-14,409.2,73.7,4,2,1,0,3.5
ckd_cat_02,2025-09-15,242.0,57.1,4,2,0,0,3.4
ckd_cat_02,2025-09-16,408.4,79.7,7,2,1,0,3.3
ckd_cat_02,2025-09-17,225.6,79.1,4,3,0,0,3.25
