CatID,Date,Water(ml),Food(g),Urination,Defecation,Vomiting,Diarrhea,Weight(kg)
normal_cat_01,2025-09-01,147.5,103.1,5,3,1,0,4.6
normal_cat_01,2025-09-02,115.3,98.6,2,3,1,0,4.7
normal_cat_01,2025-09-03,287.4,84.8,3,3,0,1,4.8
normal_cat_01,2025-09-04,239.0,107.5,3,3,0,0,4.9
normal_cat_01,2025-09-05,240.8,61.6,4,2,0,0,4.85
normal_cat_01,2025-09-06,225.8,77.4,4,1,0,0,4.95
normal_cat_01,2025-09-07,153.8,136.2,5,1,0,0,5.05
normal_cat_01,2025-09-08,249.5,100.2,2,2,0,1,5.15
normal_cat_01,2025-09-09,235.2,89.0,2,1,0,1,5.25
normal_cat_01,2025-09-10,283.5,72.6,4,2,0,0,5.35
normal_cat_01,2025-09-11,207.4,77.3,2,2,0,0,5.45
normal_cat_01,2025-09-12,272.9,147.9,4,1,0,0,5.55
normal_cat_01,2025-09-13,232.1,132.6,4,2,0,0,5.65
normal_cat_01,2025-09-14,293.3,64.6,3,1,1,0,5.75
normal_cat_01,2025-09-15,277.1,67.4,3,1,0,0,5.7
normal_cat_01,2025-09-16,198.1,128.0,5,1,0,0,5.8
normal_cat_01,2025-09-17,118.5,76.3,4,2,0,0,5.9
normal_cat_01,2025-09-18,151.3,75.9,3,2,0,0,6.0
normal_cat_01,2025-09-19,184.5,130.0,5,1,0,0,5.95
normal_cat_01,2025-09-20,199.0,119.1,2,2,0,0,5.9
normal_cat_01,2025-09-21,245.0,75.8,3,2,0,0,6.0
normal_cat_01,2025-09-22,255.1,85.8,3,2,0,0,5.95
normal_cat_01,2025-09-23,212.4,144.0,3,2,0,1,5.9
normal_cat_01,2025-09-24,145.3,107.1,4,3,0,0,5.85
normal_cat_01,2025-09-25,208.7,129.0,3,3,0,0,5.95
normal_cat_01,2025-09-26,286.6,112.5,2,2,0,0,6.05
normal_cat_01,2025-09-27,290.5,80.0,5,2,0,0,6.0
normal_cat_01,2025-09-28,208.5,135.1,3,2,0,0,6.1
normal_cat_01,2025-09-29,179.9,99.1,4,3,0,0,6.2
normal_cat_01,2025-09-30,172.1,111.4,3,1,0,0,6.3
normal_cat_02,2025-09-01,213.6,123.2,2,2,0,0,4.45
normal_cat_02,2025-09-02,288.0,109.2,2,2,1,0,4.4
normal_cat_02,2025-09-03,132.1,61.5,5,2,1,0,4.5
normal_cat_02,2025-09-04,117.0,112.4,5,2,0,0,4.45
normal_cat_02,2025-09-05,146.7,111.1,5,3,0,0,4.4
normal_cat_02,2025-09-06,258.6,90.2,2,1,0,0,4.35
normal_cat_02,2025-09-07,288.9,115.9,5,1,0,0,4.45
normal_cat_02,2025-09-08,166.0,99.4,5,1,0,0,4.4
normal_cat_02,2025-09-09,201.1,115.6,5,2,0,0,4.35
normal_cat_02,2025-09-10,179.6,112.4,2,2,1,0,4.45
normal_cat_02,2025-09-11,210.2,71.2,4,1,1,0,4.55
normal_cat_02,2025-09-12,151.9,77.8,4,2,0,0,4.65
normal_cat_02,2025-09-13,157.1,106.9,2,2,0,0,4.75
normal_cat_02,2025-09-14,168.3,82.6,2,2,0,1,4.85
normal_cat_02,2025-09-15,159.6,109.5,3,1,1,0,4.8
normal_cat_02,2025-09-16,161.2,116.1,3,2,0,0,4.9
normal_cat_02,2025-09-17,177.2,87.8,5,2,1,0,4.85
normal_cat_02,2025-09-18,103.1,137.9,3,2,0,0,4.8
normal_cat_02,2025-09-19,239.7,102.1,3,2,0,1,4.75
normal_cat_02,2025-09-20,143.7,95.2,2,3,0,0,4.85
normal_cat_02,2025-09-21,203.8,133.9,5,3,0,0,4.8
normal_cat_02,2025-09-22,231.3,90.6,4,1,0,0,4.9
normal_cat_02,2025-09-23,153.5,108.1,5,1,0,0,5.0
normal_cat_02,2025-09-24,212.2,105.1,5,3,0,0,4.95
normal_cat_02,2025-09-25,269.8,116.6,4,1,0,0,4.9
normal_cat_02,2025-09-26,288.1,141.8,3,2,0,0,5.0
normal_cat_02,2025-09-27,218.3,130.2,5,2,0,0,5.1
normal_cat_02,2025-09-28,156.2,77.6,3,2,0,0,5.2
normal_cat_02,2025-09-29,133.9,99.2,3,1,0,1,5.3
normal_cat_02,2025-09-30,117.8,135.8,3,1,0,0,5.4
normal_cat_03,2025-09-01,200.9,142.2,5,3,0,0,4.6
normal_cat_03,2025-09-02,221.1,112.9,2,1,1,0,4.7
normal_cat_03,2025-09-03,173.9,76.0,4,3,0,0,4.8
normal_cat_03,2025-09-04,108.5,75.9,2,2,0,0,4.75
normal_cat_03,2025-09-05,273.3,75.9,5,2,0,0,4.7
normal_cat_03,2025-09-06,170.4,143.0,3,3,0,0,4.8
normal_cat_03,2025-09-07,219.5,131.4,2,2,0,0,4.9
normal_cat_03,2025-09-08,211.1,133.8,5,2,0,1,4.85
normal_cat_03,2025-09-09,249.6,135.2,5,1,0,0,4.95
normal_cat_03,2025-09-10,255.8,69.8,5,3,0,0,4.9
normal_cat_03,2025-09-11,193.8,93.5,4,3,0,0,4.85
normal_cat_03,2025-09-12,250.6,64.8,5,1,1,1,4.95
normal_cat_03,2025-09-13,142.2,119.8,2,3,0,0,5.05
normal_cat_03,2025-09-14,297.3,120.4,2,3,0,1,5.15
normal_cat_03,2025-09-15,192.7,97.2,5,1,0,0,5.1
normal_cat_03,2025-09-16,186.0,101.6,5,1,0,0,5.05
normal_cat_03,2025-09-17,231.3,80.8,3,2,0,0,5.0
normal_cat_03,2025-09-18,290.8,120.9,2,3,0,1,5.1
normal_cat_03,2025-09-19,267.2,118.3,2,3,0,0,5.05
normal_cat_03,2025-09-20,212.2,70.8,2,3,0,0,5.0
normal_cat_03,2025-09-21,180.5,65.9,3,2,0,0,5.1
normal_cat_03,2025-09-22,121.6,77.6,5,2,0,1,5.2
normal_cat_03,2025-09-23,193.3,98.1,3,1,0,0,5.3
normal_cat_03,2025-09-24,277.0,95.3,3,2,1,0,5.4
normal_cat_03,2025-09-25,145.1,143.6,4,3,0,0,5.5
normal_cat_03,2025-09-26,123.5,112.0,3,2,0,0,5.6
normal_cat_03,2025-09-27,234.1,63.9,2,3,0,0,5.7
normal_cat_03,2025-09-28,200.9,98.9,3,2,0,0,5.65
normal_cat_03,2025-09-29,102.7,148.0,2,1,0,0,5.6
normal_cat_03,2025-09-30,172.8,110.8,5,2,0,0,5.7
normal_cat_04,2025-09-01,145.1,111.8,3,3,0,0,4.6
normal_cat_04,2025-09-02,158.5,105.7,5,3,1,1,4.7
normal_cat_04,2025-09-03,260.6,96.6,5,2,0,0,4.65
normal_cat_04,2025-09-04,227.4,129.9,5,1,0,0,4.6
normal_cat_04,2025-09-05,168.9,108.9,2,3,0,0,4.7
normal_cat_04,2025-09-06,118.7,144.0,3,1,0,1,4.8
normal_cat_04,2025-09-07,220.6,135.3,4,1,0,1,4.75
normal_cat_04,2025-09-08,171.3,89.0,5,2,0,0,4.7
normal_cat_04,2025-09-09,231.3,103.6,4,3,0,0,4.65
normal_cat_04,2025-09-10,260.4,63.6,5,3,0,0,4.75
normal_cat_04,2025-09-11,290.9,68.4,5,3,0,0,4.7
normal_cat_04,2025-09-12,104.2,72.7,4,2,0,1,4.65
normal_cat_04,2025-09-13,160.0,78.1,4,1,0,0,4.75
normal_cat_04,2025-09-14,245.0,136.4,4,1,1,0,4.85
normal_cat_04,2025-09-15,122.0,129.0,2,3,1,0,4.8
normal_cat_04,2025-09-16,134.2,97.4,5,2,0,0,4.75
normal_cat_04,2025-09-17,256.8,118.5,3,2,0,1,4.7
