CatID,Date,Water(ml),Food(g),Urination,Defecation,Vomiting,Diarrhea,Weight(kg)
pancreatitis_cat_01,2025-09-01,130.0,33.1,3,1,1,1,4.45
pancreatitis_cat_01,2025-09-02,58.9,45.1,3,1,1,0,4.35
pancreatitis_cat_01,2025-09-03,138.9,54.6,1,1,2,2,4.3
pancreatitis_cat_01,2025-09-04,110.8,45.7,2,1,3,0,4.25
pancreatitis_cat_01,2025-09-05,54.8,60.0,2,1,3,0,4.15
pancreatitis_cat_01,2025-09-06,54.1,54.5,3,0,2,2,4.05
pancreatitis_cat_01,2025-09-07,96.8,51.9,1,1,0,2,4.0
pancreatitis_cat_01,2025-09-08,114.7,40.2,3,0,3,1,3.9
pancreatitis_cat_01,2025-09-09,134.9,34.7,2,0,1,0,3.85
pancreatitis_cat_01,2025-09-10,50.5,24.1,2,1,3,1,3.75
pancreatitis_cat_01,2025-09-11,74.5,34.7,3,0,2,0,3.65
pancreatitis_cat_01,2025-09-12,61.4,55.3,2,0,1,1,3.55
pancreatitis_cat_01,2025-09-13,56.0,56.4,3,0,1,0,3.45
pancreatitis_cat_01,2025-09-14,86.5,46.9,2,1,3,1,3.35
pancreatitis_cat_01,2025-09-15,123.5,52.5,1,0,1,1,3.3
pancreatitis_cat_01,2025-09-16,112.7,40.5,3,1,1,0,3.25
pancreatitis_cat_01,2025-09-17,137.9,47.7,2,0,0,2,3.2
pancreatitis_cat_01,2025-09-18,145.7,42.3,3,0,2,0,3.15
pancreatitis_cat_01,2025-09-19,59.9,39.6,3,0,0,2,3.1
pancreatitis_cat_01,2025-09-20,112.2,30.3,3,1,1,1,3.05
pancreatitis_cat_01,2025-09-21,142.7,29.5,2,1,1,2,3.0
pancreatitis_cat_01,2025-09-22,62.3,40.9,3,1,3,2,2.9
pancreatitis_cat_01,2025-09-23,73.0,53.6,3,0,3,1,2.8
pancreatitis_cat_01,2025-09-24,105.6,54.6,2,0,3,1,2.7
pancreatitis_cat_01,2025-09-25,132.5,58.1,2,0,0,1,2.6
